dataset,episode_index,session_id,condition_id,successful,task_geometry,intervention_frame,du_m,dv_m,dw_m,roll_rad,pitch_rad,yaw_rad,grasp_frame,alignment_frame,contact_frame,insertion_end_frame,source_of_labels,notes
insert_jc_fix_3,15,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,16,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,17,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,18,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,19,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,20,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,21,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,22,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,23,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,24,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,25,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,26,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,27,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,28,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,29,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,30,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,31,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,32,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,33,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,34,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,35,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,36,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,37,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,38,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,39,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,40,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,41,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,42,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,43,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,44,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,45,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,46,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,47,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,48,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_jc_fix_3,49,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,0,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,1,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,2,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,3,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,4,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,5,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,6,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,7,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,8,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,9,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,10,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,11,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,12,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,13,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,14,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,15,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,16,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,17,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,18,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,19,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,20,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,21,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,22,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,23,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,24,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,25,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,26,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,27,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,28,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,29,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,30,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,31,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,32,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,33,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,34,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,35,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,36,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,37,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,38,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,39,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,40,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,41,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,42,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,43,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,44,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,45,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,46,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,47,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,48,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,49,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,50,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,51,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,52,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,53,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,54,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,55,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,56,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,57,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,58,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,59,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
insert_10degree,60,,,true,circular peg-hole,,,,,,,,,,,,User confirmation; not independently scored from video,All demonstrations successful; hole position and grasp method unchanged; hole tilt magnitude 0 or 10 degrees by dataset; tilt axis unknown. Three positions refer to initial peg pickup positions.
